Crops,EC 0-15,Temperature,Fertility,Saturation ,Soil Type
RICE - 15,2.36,1.09,190,38,LOAM
RICE - 15,2.28,0.72,190,38,LOAM
RICE - 15,2.32,0.98,170,40,LOAM
RICE - 15,2.36,1.09,200,40,LOAM
RICE - 15,2.34,1.19,230,38,LOAM
RICE - 15,2.37,1.09,270,40,LOAM
RICE - 15,2.3,0.72,250,38,LOAM
RICE - 15,2.33,0.88,290,38,LOAM
RICE - 15,2.31,0.98,310,38,LOAM
RICE - 15,2.25,1.14,210,39,LOAM
RICE - 15,2.34,1.03,270,40,LOAM
RICE - 15,2.37,1.14,190,42,LOAM
RICE - 15,2.68,0.98,180,40,LOAM
RICE - 15,2.6,0.72,190,36,LOAM
RICE - 15,2.54,0.88,240,38,LOAM
RICE - 15,2.52,0.67,270,36,LOAM
WHEAT-11,2.33,0.78,270,40,LOAM
WHEAT-11,2.27,0.67,200,40,LOAM
RICE - 20,2.87,0.83,220,34,LOAM
RICE-32,4.38,0.72,130,38,LOAM
RICE-32,4.61,0.78,140,38,LOAM
RICE-32,4.45,0.67,140,36,LOAM
RICE-32,4.15,0.83,110,38,LOAM
COTTON - 28,2.13,0.72,250,32,LOAM
COTTON - 03,2.11,0.62,200,38,LOAM
GRAM-30,2.15,0.83,180,38,LOAM
COTTON - 24,1.23,0.93,190,40,LOAM
COTTON - 24,1.88,0.57,200,36,LOAM
COTTON - 24,1.82,0.83,140,38,LOAM
COTTON - 24,1.13,0.98,190,40,LOAM
ONION - 7,1.3,1.03,190,38,LOAM
WHEAT - 11,1.05,1.29,130,34,LOAM
WHEAT - 11,2.47,1.29,100,34,LOAM
COTTON - 28,2.93,0.98,190,34,LOAM
COTTON - 28,2.46,1.03,200,38,LOAM
COTTON - 28,2.07,1.03,180,40,LOAM
COTTON - 28,2.04,0.88,200,36,LOAM
COTTON - 28,1.95,0.93,220,38,LOAM
COTTON - 03,2.05,1.14,170,40,LOAM
COTTON - 03,1.76,1.19,160,34,LOAM
COTTON - 03,2.43,1.03,210,38,LOAM
COTTON - 03,3.21,1.24,200,34,LOAM
COTTON - 03,2.67,0.83,200,34,LOAM
COTTON - 03,2.41,0.93,100,36,LOAM
COTTON - 23,1.92,0.78,310,34,LOAM
COTTON - 13,1.97,0.67,210,38,LOAM
WHEAT - 29,2.13,0.88,170,40,LOAM
COTTON - 22,2.27,1.29,390,40,LOAM
COTTON - 22,1.61,1.03,240,36,LOAM
COTTON - 22,1.55,0.98,310,38,LOAM
COTTON - 22,1.7,1.03,270,36,LOAM
COTTON - 22,1.61,0.98,290,38,LOAM
COTTON - 22,1.79,1.03,200,40,LOAM
COTTON - 22,1.53,1.03,250,38,LOAM
COTTON - 22,1.57,1.03,240,40,LOAM
COTTON - 22,1.55,1.09,270,38,LOAM
COTTON - 22,0.95,1.14,240,40,LOAM
COTTON - 22,1.08,0.98,210,36,LOAM
WHEAT - 11,1.72,0.78,180,36,LOAM
WHEAT - 11,1.2,0.83,190,38,LOAM
COTTON - 13,1.14,1.24,290,38,LOAM
COTTON - 13,0.88,1.03,200,40,LOAM
COTTON - 13,1.11,0.98,180,38,LOAM
COTTON - 13,1.19,0.72,230,40,LOAM
COTTON - 13,1.58,0.98,300,38,LOAM
COTTON - 13,1.55,0.88,210,38,LOAM
COTTON - 13,1.51,1.29,140,40,LOAM
COTTON - 13,1.65,0.98,160,34,LOAM
COTTON - 13,1.67,1.09,260,38,LOAM
COTTON - 13,2.12,1.03,270,34,LOAM
COTTON - 13,1.32,0.88,190,36,LOAM
COTTON - 13,1.48,0.88,18,34,LOAM
COTTON - 21,1.45,0.83,200,38,LOAM
COTTON - 21,1.56,0.78,200,40,LOAM
COTTON - 21,1.13,0.88,200,36,LOAM
COTTON - 21,1.18,0.88,220,38,LOAM
COTTON - 21,2.1,0.78,250,40,LOAM
COTTON - 21,1.78,1.24,140,36,LOAM
COTTON - 21,1.48,1.03,160,34,LOAM
COTTON - 21,1.53,1.14,130,34,LOAM
COTTON - 21,1.45,1.03,160,36,LOAM
COTTON - 21,1.29,0.72,150,38,LOAM
COTTON - 23,1.6,0.62,220,40,LOAM
COTTON - 23,1.51,1.09,250,36,LOAM
COTTON - 23,1.54,0.88,200,34,LOAM
COTTON - 23,1.24,1.03,230,34,LOAM
COTTON - 23,1.14,0.72,290,32,LOAM
TOMATO - 23,2.04,0.78,250,32,LOAM
TOMATO - 23,1.72,0.72,210,36,LOAM
TOMATO - 23,2.21,0.72,270,34,LOAM
TOMATO - 23,1.79,0.83,180,36,LOAM
TOMATO - 23,1.91,0.78,200,38,LOAM
TOMATO - 23,2.01,0.78,180,38,LOAM
TOMATO - 23,1.19,0.93,190,36,LOAM
TOMATO - 23,1.98,0.72,230,38,LOAM
TOMATO - 23,2.13,0.72,210,40,LOAM
TOMATO - 23,2.1,0.72,240,38,LOAM
TOMATO - 23,1.94,0.72,260,34,LOAM
TOMATO - 23,1.72,0.67,190,38,LOAM
CITRESS - 27,1.87,0.93,190,34,LOAM
CITRESS - 27,1.93,0.67,170,38,LOAM
CITRESS - 27,1.89,0.72,150,36,LOAM
CITRESS - 27,1.9,0.78,160,36,LOAM
CITRESS - 27,1.98,0.72,180,34,LOAM
CITRESS - 27,1.87,0.88,150,38,LOAM
CITRESS - 27,1.97,0.67,150,36,LOAM
CITRESS - 27,1.9,0.72,180,36,LOAM
CITRESS - 27,1.88,0.83,200,34,LOAM
CITRESS - 27,2.01,0.78,180,36,LOAM
CITRESS - 27,1.97,0.93,150,36,LOAM
CITRESS - 27,1.89,0.72,170,38,LOAM
CITRESS - 27,1.92,0.83,180,36,LOAM
CITRESS - 27,1.87,0.78,160,34,LOAM
CITRESS - 27,1.9,0.98,180,34,LOAM
CITRESS - 27,1.98,0.93,200,36,LOAM
CITRESS - 27,1.9,1.03,200,38,LOAM
CITRESS - 27,1.94,1.03,260,38,LOAM
CITRESS - 27,2.13,0.88,180,38,LOAM
WHEAT- 22,2.8,1.03,180,38,LOAM
WHEAT- 22,2.87,0.78,190,38,LOAM
WHEAT- 22,3.21,0.67,180,36,LOAM
WHEAT- 22,3.15,1.03,170,38,LOAM
WHEAT- 22,3.13,1.09,180,38,LOAM
WHEAT- 22,3.26,1.09,170,40,LOAM
WHEAT- 22,3.39,1.03,220,40,LOAM
WHEAT- 22,3.62,1.03,160,38,LOAM
WHEAT- 22,3.01,0.98,150,40,LOAM
WHEAT- 22,3.21,0.78,210,36,LOAM
WHEAT- 22,3.5,0.93,160,38,LOAM
WHEAT- 22,2.84,0.52,170,40,LOAM
WHEAT- 22,2.87,0.62,180,40,LOAM
